81_1	How do you know when your garage door opener is going bad?	0
81_2	Now my garage door opener stopped working. Why?	0
81_3	How much does it cost for someone to repair a garage door opener?	1
81_4	How much does it cost to replace a garage door opener?	0
81_5	How do I choose a new garage door opener?	1
81_6	What does a smart garage door opener do?	1
81_7	What's important for me to know about the safety of smart garage door openers?	1
81_8	How could smart garage door openers be hacked?	1
82_1	I would like to learn about GMO Food labeling.	0
82_2	What are the pros and cons of GMO food labeling?	1
82_3	What are the cons of GMO food labeling?	0
82_4	What are the GMO food labeling rules in the EU?	1
82_5	Tell me about traceability tools for GMO foods in the EU.	1
82_6	What is the role of Co-Extra in GMO food traceability in the EU?	0
82_7	How is food tested for GMO contamination?	1
82_8	What's the difference between the European Union and United States approaches to testing for GMO food contamination?	0
82_9	How does the DNA-based method work for testing GMO contamination.	1
82_10	How could Co-Extra improve DNA-based testing for GMO contamination?	0
83_1	What are some interesting facts about bees?	0
83_2	Why doesn't honey spoil?	1
83_3	Why are so many bees dying?	1
83_4	What can be done to stop bees from dying?	0
83_5	What has happened to bee habitat?	1
83_6	What can I do to help provide a habitat for bees?	0
83_7	What is the cause of colony collapse disorder?	1
83_8	What would happen if the bees died out?	1
84_1	How does seed investment work for startups?	0
84_2	Tell me more about angel investment rounds.	1
84_3	How does an angel investment round compare with crowdfunding?	1
84_4	How much is a typical A series investment round?	1
84_5	What are the risks of investing in startups?	1
84_6	What are the different types of instruments used by Venture Capitalists?	1
85_1	How much does a Lamborghini cost?	0
85_2	How does a Lamborghini compare to a Ferrari?	0
85_3	Interesting. How much does a pimped-out food truck cost?	1
85_4	What licenses and permits are needed for a food truck?	0
85_5	What makes a good food truck location?	1
85_6	What is a typical day like running a food truck?	1
85_7	How can I run a successful food truck?	1
85_8	What are some good examples of successful food trucks to learn from?	0
85_9	Besides inventive flavors, what made Kogi successful?	0
86_1	What is the climate like in Utah?	0
86_2	How does the climate of Salt Lake City differ from Utah overall?	1
86_3	What is the main economic activity of Salt Lake City?	1
86_4	What was the impact of the 2002 olympic winter games on the economy of Salt Lake City?	1
86_5	What were important ski locations used in the 2002 olympic winter games?	1
86_6	What are the important non-ski events that happen in Salt Lake City?	1
86_7	What are some popular non-winter things to do in the Salt Lake City area?	0
87_1	What are the different types of orange trees?	0
87_2	How can you tell different types of orange trees apart?	0
87_3	What type of orange tree has thorns?	0
87_4	Where do orange trees originally come from?	1
87_5	Tell me about the Hamlin orange variety.	1
87_6	Why did the Hamlin orange replace the Parson Brown variety?	0
87_7	What are the different types of navel oranges?	1
87_8	Which type of navel orange is the most delicious?	0
87_9	How do cara cara oranges compare with blood oranges?	1
88_1	Can I have some information on the labor systems of the Ottoman Empire?	0
88_2	What was the role of slavery in the labor system of the Ottoman Empire?	0
88_3	How did the Ottoman Empire govern?	1
88_4	Why was the Ottoman Empire important?	1
88_5	What was the culture like in the Ottoman Empire?	1
88_6	What was the role of storytellers in the culture of the Ottoman Empire?	1
88_7	What were popular stories told by meddahs in the Ottoman Empire?	0
88_8	What was the importance of the confessional millet system to the Ottoman Empire?	1
88_9	Why did the British continue the confessional millet system from the Ottoman Empire?	0
88_10	What is the historical importance of the confessional millet system in the development of national identities?	0
89_1	What is the relationship between predator and prey?	0
89_2	What do predator plants eat?	0
89_3	What do Venus flytraps eat?	1
89_4	Where is the Venus flytrap native to?	0
89_5	How do Venus flytraps attract and catch their prey?	0
89_6	What other carnivorous plants are native to North and South Carolina?	1
89_7	How do populations of predators and prey relate?	1
89_8	Why would the roles of predator and prey reverse?	0
89_9	How do predators and prey influence biodiversity?	0
89_10	What are examples of apex predators?	1
89_11	Why would humans be considered apex predators?	0
90_1	Which is the biggest commercial plane?	0
90_2	What are the operational costs of the Airbus A380?	1
90_3	How does the Airbus A380 fuel consumption compare to its competitors?	0
90_4	How do the freighter versions of the Airbus A380 and Boeing 747 compare to each other?	0
90_5	Why did the Airbus A380 stop being produced?	1
90_6	What was Boeing's response to compete with the Airbus A380?	1
90_7	What is the newest version of the Boeing 777 and what is better about it?	1
90_8	What are the differences between the Boeing 777X-8 and 777X-9?	0
91_1	What is the purpose of the General Data Protection Regulation (GDPR)?	0
91_2	What is different between General Data Protection Regulation (GDPR) and European Union (EU) Data Protection Directive 95/46/EC?	0
91_3	What are the privacy implications of social networks and cloud computing?	1
91_4	Oh, Internet Protocol (IP) addresses are considered Personally Identifying Information (PII)? What is the full range of personal data defined in the General Data Protection Regulation (GDPR)?	1
91_5	How do big companies in the United States (US) adapt to the General Data Protection Regulation (GDPR)?	1
91_6	OK. Tell me about the privacy issues in social networks.	1
91_7	What do users of social networks get in return for by giving up their privacy?	0
91_8	What are the symptoms of social network addiction?	1
92_1	Do shoulder braces help recover from an injury?	0
92_2	Tell me more about some shoulder exercises that could help recovery from an injury.	0
92_3	What are other exercises besides Pendulum circles for shoulder injuries?	0
92_4	How do I know if my shoulder pain is serious?	1
92_5	When should you consider shoulder surgery?	0
92_6	That seems extreme. What are other ways to treat shoulder pain?	0
92_7	How do I stop my shoulder from hurting at my desk?	1
92_8	What are the benefits of a standing desk for shoulder pain?	0
93_1	Tell me about purchasing a Burger King franchise.	0
93_2	No, not information about Burger King's acquisition. I want to know how to open a Burger King franchise.	1
93_3	Is there any financial support for the initial franchise fee of a Burger King restaurant franchise?	0
93_4	How much does a Burger King franchise owner typically make?	1
93_5	Is it better to be a Burger King franchisee or an independent restaurant owner?	0
93_6	What support does the franchise provide?	1
93_7	OK let's do it. What is the process of buying a Burger King franchise?	1
94_1	How did snowboarding begin?	0
94_2	Interesting. That's later than I expected. Who were the winners of snowboarding events in the 1998 Winter Olympics?	1
94_3	What are strap-in snowboard bindings?	1
94_4	What's an alternative to the strap-in binding style for snowboarding?	0
94_5	What else besides bindings do I need for my first time snowboarding?	0
94_6	How can I teach myself to get started snowboarding?	1
94_7	What are the best snowboarding slopes for beginners around Seattle?	1
94_8	What are other things to do at Mount Bachelor Ski & Sports	0
95_1	How are waste and garbage processed?	0
95_2	Interesting. What is the impact of burning waste and garbage on the environment?	1
95_3	Why does waste compaction slow the biodegradation of organic waste?	1
95_4	How is sewage recycled?	1
95_5	What are the pros and cons of recycling vs composting garbage?	1
95_6	Tell me more about biodegradable plastics.	1
95_7	How are biodegradable plastics made?	0
95_8	How is corn oil used to make biodegradable plastics?	0
96_1	How do you make Japanese Yakiniku ?	0
96_2	Can the sauce for Yakiniku be used in other dishes?	1
96_3	What are the best Yakiniku restaurants in Tokyo?	1
96_4	Tell me about three star Michelin sushi restaurants in Tokyo.	1
96_5	How do I make dinner reservations in Tokyo restaurants?	1
96_6	Tell me what other fun things there are to do in Tokyo besides eating.	1
96_7	What is the cost of living in Tokyo compared to New York City (NYC)?	1
96_8	What is the salary of working in foreign law firms in Tokyo?	1
97_1	Who are the rivals of the Pittsburgh Steelers?	0
97_2	What are notable games between Baltimore Ravens versus Pittsburgh Steelers	0
97_3	What are notable moments in the Ravens and Steelers rivalry?	0
97_4	Tell me more about Polamalu's Interception versus Ravens in the 2008 AFC Championship game.	1
97_5	How about Polamalu's interception return touchdown?	0
97_6	Tell me more about the immaculate reception of Pittsburgh Steelers.	0
97_7	What happened to Three Rivers stadium?	1
97_8	Tell me more about Steelers' defense scheme.	1
98_1	What is the environmental cost of food production?	0
98_2	Oh that much water? How much water is used in meat production?	1
98_3	How much less water is used to produce vegetables compared to meat?	0
98_4	What are the benefits of being vegetarian to the environment?	1
98_5	Are there any health concerns of being vegetarian?	1
98_6	What are the sources of proteins for vegetarians?	0
98_7	Can you show me vegetarian recipes with almonds?	1
98_8	How do you make almond flour?	1
99_1	What is high blood carbon dioxide?	0
99_2	What should you do to treat hypercapnia?	1
99_3	What are treatments for high cholesterol?	1
99_4	What should I eat to improve high cholesterol?	0
99_5	What are the differences between saturated fat and trans fat?	1
99_6	What are the benefits of unsaturated fats?	0
99_7	Oh, I like fish. What foods besides fish are good sources of unsaturated fats?	0
99_8	What types of unsaturated fats does olive oil contain?	1
100_1	What causes my teeth to chip off?	0
100_2	Oh, what can dentists do to fix a chipped tooth?	0
100_3	What are the differences between dental crowns and veneers?	1
100_4	How does an implant compare to a crown?	1
100_5	Which one of dental implants or crowns is more expensive?	0
100_6	What is the coverage of the crown in insurance?	1
100_7	What is the coverage of the crown in medicare?	1
100_8	Show me medicare dentists in Seattle	1
101_1	What is Melania Trump's religion?	0
101_2	What did Melania Trump do before she was married?	1
101_3	Does Melania Trump have children?	1
101_4	How old is Barron Trump?	1
101_5	Donald and Melania Trump met at the Kit Kat Club?  Where is the Kit Kat Club?	1
101_6	When did Melania Trump become a model?	1
101_7	Does the public pay the First Lady of the United States?	1
101_8	Does the public pay Ivanka Trump?	1
101_9	Does the public pay Jared Kushner?	1
101_10	What does Jared Kushner do at the White House?	1
102_1	When did social security start in the United States (US)?	0
102_2	Was social security mandatory?	0
102_3	Who received the first social security check?	0
102_4	When did the government start borrowing from social security?	1
102_5	How much money is owed to social security?	0
102_6	When will social security run out of money?	0
102_7	Wow! What will happen if social security runs out of money?	0
102_8	Can social security be fixed?	1
102_9	How much of a tax increase will keep social security solvent?	0
103_1	Why were the Grateful Dead such an influential live band?	0
103_2	Why did the Grateful Dead allow live recordings?	0
103_3	Did the Grateful Dead have a number one hit?	1
103_4	Who was the leader of the Grateful Dead?	1
103_5	How did Jerry Garcia lose his finger?	1
103_6	What was Jerry Garcia's relationship to Jefferson Airplane?	1
103_7	Is Cassidy about Jack Casady?	1
103_8	Who wrote Cassidy?	1
103_9	What else did John Barlow and Bob Weir write?	0
103_10	Why did the Grateful Dead break up?	1
104_1	Who are some of the well-known Information Retrieval researchers?	0
104_2	What Information Retrieval research did Bruce Croft work on?	0
104_3	Who are some important British Information Retrieval researchers?	1
104_4	What did Cyril Cleverdon's studies contribute to the evaluation of Information Retrieval systems?	0
104_5	What are some criticisms of the Cranfield project experiments?	1
104_6	How did the Cranfield Experiments influence modern information retrieval evaluation initiatives?	0
104_7	What is TREC for information retrieval research?	1
104_8	What are some recent TREC tasks?	0
104_9	e-Discovery?  What's that?	1
104_10	What are the important components of an information retrieval test collection?	1
104_11	What about evaluation benchmarks for music information retrieval?	1
104_12	What are important evaluation measures for web search engines?	1
104_13	What are important online evaluation metrics for web search?	0
105_1	When did the Black Lives Matter campaign begin?	0
105_2	Tell me more about the shooting of Trayvon Martin.	1
105_3	Why was George Zimmerman acquitted?	0
105_4	And how what happened to Michael Brown?	1
105_5	"Who named the movement ""Black Lives Matter""?"	1
105_6	What was the US reaction to the Black Lives Matter movement?	1
105_7	Tell me more about the Blue Lives Matter movement.	1
105_8	Why were Rafael Ramos and Wenjian Liu killed?	1
105_9	What else motivates the Black Lives Matter movement?	1