conversation_id	turn_id	id	query	original	sparse	turn_leaf_id
140	3-3	140_3-3	Are you interested in knowing Nigeria's capital besides Calabar and Lagos?	I used to work in Abuja and it was crazy and chaotic. Abuja is better I think Are you interested in knowing Nigeria's capital?		140_3-3
141	1-1	141_1-1	I’ve got an offer to make 20% monthly interest on my money. Do you think it’s legit? No, I want to know what scams I should be on the lookout for.	I’ve got an offer to make 20% monthly interest on my money. Do you think it’s legit? No, I want to know what scams I should be on the lookout for.		141_1-5
141	1-3	141_1-3	What else should I be aware of other than scammers who are desperate to get you to join?	What else should I be aware of other than scammers who are desperate to get you to join? I would like to learn about these signs.		141_1-5
141	1-5	141_1-5	What do you suggest I do next after talking to the guy I talked to actually?	What do you suggest I do next after talking to the guy I talked to actually?		141_1-5
141	1-1	141_1-1	I’ve got an offer to make 20% monthly interest on my money. Do you think it’s legit? No, I wanted to know if it is a scam or not.	I’ve got an offer to make 20% monthly interest on my money. Do you think it’s legit? No, I wanted to know if it is a scam or not.		141_2-13
141	2-1	141_2-1	So is the scam of making 20% monthly interest on my money a Ponzi scheme?	So is the scam of making 20% monthly interest on my money a Ponzi? Yes, please tell me what a Ponzi scheme is.		141_2-13
141	2-3	141_2-3	Would you like to know examples of Ponzi schemes?	What’s an example of Ponzi schemes? Would you like to know examples of ponzi schemes?		141_2-13
141	2-5	141_2-5	How do ponzi schemes are discovered?	How do Ponzi schemes unravel? Would you like to know how ponzi schemes are discovered?		141_2-13
141	2-7	141_2-7	What other schemes are similar to Ponzi schemes besides the one above?	No, tell me how Ponzi schemes collapse. I'd like to know what other schemes are similar to Ponzi schemes.		141_2-13
141	2-9	141_2-9	Can you compare the Ponzi schemes out there with the ones out there?	Can you compare the Ponzi schemes out there with the ones out there? I want examples of schemes similar to Ponzi schemes.		141_2-13
141	2-11	141_2-11	What else is there other than Ponzi schemes besides pyramid schemes?	What else is there other than Ponzi schemes?		141_2-13
141	2-13	141_2-13	What does a bubble sound like?	What does a bubble sound like?		141_2-13
142	1-1	142_1-1	What should I know about Argentina? I want to know every fact concerning it	What should I know about Argentina? I want to know every fact concerning it		142_3-5
142	1-3	142_1-3	What makes Buenos Aires the capital of Argentina?	What makes Buenos Aires the capital of Argentina?		142_3-5
142	2-2	142_2-2	What makes Buenos Aires’ culture distinct from the rest of the country?	What makes Buenos Aires’ culture distinct from the rest of the country? Are you interested in the modern culture of buenos aires?		142_3-5
142	3-1	142_3-1	You’ve mentioned Argentina several times now. Tell me more.	You’ve mentioned Argentina several times now. Tell me more.		142_3-5
142	3-3	142_3-3	Do you want to learn about the origins of the Argentine tango?	I meant the tango in relation to Argentina. Do you want to learn about the origins of the Argentine tango?		142_3-5
142	3-5	142_3-5	Why is clothing important historically in Argentina?	Why is clothing important historically in Argentina?		142_3-5
142	1-1	142_1-1	What should I know about Argentina? Check with a travel agent and go on travel blogs to look for reviews.	What should I know about Argentina? Check with a travel agent and go on travel blogs to look for reviews.		142_7-1
142	7-1	142_7-1	How can I explore both Malbec and Iguazu Falls in Argentina?	How can I explore both Malbec and Iguazu Falls?		142_7-1
142	1-1	142_1-1	What should I know about Argentina? Specifically, I'd like to know about Buenos Aires and its unique culture.	What should I know about Argentina? Specifically, I'd like to know about Buenos Aires and its unique culture.		142_4-1
142	1-3	142_1-3	What makes Buenos Aires the capital of Argentina?	What makes Buenos Aires the capital of Argentina? The city of Portenos		142_4-1
142	4-1	142_4-1	Are you interested in the modern culture of buenos aires?	What are Buenos Aires’ boites known for? Are you interested in the modern culture of buenos aires?		142_4-1
142	1-1	142_1-1	What should I know about Argentina? I want to know about the culture of Argentina and its capital, Buenos Aires.	What should I know about Argentina? I want to know about the culture of Argentina and its capital, Buenos Aires.		142_6-3
142	1-3	142_1-3	What makes Buenos Aires the capital of Argentina?	What makes Buenos Aires the capital of Argentina? I'd like to compare Buenos Aires's culture to other cities in Argentina.		142_6-3
142	2-2	142_2-2	What makes Buenos Aires’ culture distinct from the rest of the country?	What makes Buenos Aires’ culture distinct from the rest of the country?		142_6-3
142	2-4	142_2-4	What’s Merienda in relation to Argentina?	What’s Merienda in relation to Argentina?		142_6-3
142	6-1	142_6-1	How do I prepare yerba mate, the tea in Argentina?	How do I make merienda in Argentina? No, I want to prepare yerba mate, the tea.		142_6-3
142	6-3	142_6-3	Do you want to know the history of mate in Argentina?	I meant merienda in relation to Argentina. Do you want to know the history of mate?		142_6-3
142	1-1	142_1-1	What should I know about Argentina? I want to hear about popular Argentinian meat dishes.	What should I know about Argentina? I want to hear about popular Argentinian meat dishes.		142_8-1
142	5-1	142_5-1	What is the best place to eat in Argentina?	What is the best place to eat in Argentina? No, I want to know about Chile's cuisine.		142_8-1
142	5-3	142_5-3	What are some popular dishes in Argentina?	What are some popular dishes in Argentina?		142_8-1
142	8-1	142_8-1	Would you like to find restaurants that serve popular Chilean dishes containing meat?	How about in Chile? Would you like to find restaurants that serve popular Chilean dishes containing meat?		142_8-1
142	1-1	142_1-1	What should I know about Argentina? I want to hear about popular Argentinian meat dishes.	What should I know about Argentina? I want to hear about popular Argentinian meat dishes.		142_9-1
142	1-3	142_1-3	What makes Buenos Aires the capital of Argentina?	What makes Buenos Aires the capital of Argentina?		142_9-1
142	2-2	142_2-2	What makes Buenos Aires’ culture distinct from the rest of the country?	What makes Buenos Aires’ culture distinct from the rest of the country? Yes, I would like to know the modern culture of Buenos Aires, particularly about the Portenos District.		142_9-1
142	2-4	142_2-4	What’s Merienda in relation to Argentina?	What’s Merienda in relation to Argentina?		142_9-1
142	9-1	142_9-1	What makes Argentina unique?	What makes Argentina unique?		142_9-1
142	1-1	142_1-1	What should I know about Argentina?	What should I know about Argentina?		142_5-9
142	5-1	142_5-1	What is the best place to eat in Argentina?	What is the best place to eat in Argentina? Do you want to know more about Argentina's cuisine?		142_5-9
142	5-3	142_5-3	What are some popular dishes in Argentina?	What are some popular dishes in Argentina?		142_5-9
142	5-5	142_5-5	What nationalities produce chantilly cream in Argentina?	What nationalities produce chantilly cream in Argentina? Are you interested to know the popular food in Argentina?		142_5-9
142	5-7	142_5-7	What makes Argentina special?	What makes Argentina special?		142_5-9
142	5-9	142_5-9	Is there more on how the impact argentina’s had on its quality?	Is there more on how the impact argentina’s had on its quality?		142_5-9
142	1-1	142_1-1	What should I know about Argentina? I'd like to know more about the capital, Buenos Aires.	What should I know about Argentina? I'd like to know more about the capital, Buenos Aires.		142_1-5
142	1-3	142_1-3	What makes Buenos Aires the capital of Argentina?	What makes Buenos Aires the capital of Argentina?		142_1-5
142	1-5	142_1-5	Are you interested in the modern culture of buenos aires?	I’d like to know about the culture of Buenos Aires. Are you interested in the modern culture of buenos aires?		142_1-5
143	1-1	143_1-1	I hear a lot about banking innovation, but what is Open Banking? Would you like to know what open banking means?	I hear a lot about banking innovation, but what is Open Banking? Would you like to know what open banking means?		143_1-19
143	1-3	143_1-3	Do you want to compare Open Banking to PSDR?	How does the European equivalent of the Payment Services Directive relate to Open Banking? Do you want to compare Open Banking to PSDR?		143_1-19
143	1-5	143_1-5	Does the Open Banking rule exist in the United States at all?	Does the Open Banking rule exist in the U.S.? No, I want to know if Open Banking exists in the United States at all.		143_1-19
143	1-7	143_1-7	What kind of product innovation has happened in the banking industry as a result of open banking?	What kind of product innovation has happened in the banking industry? Yes, but focus on product innovation as a result of open banking.		143_1-19
143	1-9	143_1-9	Are you referring to a specific location or the world as a whole?	No, I just meant in general. Are you referring to a specific location or the world as a whole?		143_1-19
143	1-11	143_1-11	What retail products or services are the best consumer value propositions?	What retail products or services are the best consumer value propositions? No, I am asking about Fintech startups.		143_1-19
143	1-13	143_1-13	What are the coolest fintech startups currently?	What are the coolest startups currently? Would you like a list of the coolest fintech startups this year?		143_1-19
143	1-15	143_1-15	What is the regulatory environment like for cryptocurrencies like bitcoin and litecoin?	What is the regulatory environment like for cryptocurrencies like bitcoin and litecoin?		143_1-19
143	1-17	143_1-17	What are the concerns about cryptocurrency regulation in Europe?	What are the concerns about cryptocurrency regulation in Europe? Are you interested in European crypto regulation?		143_1-19
143	1-19	143_1-19	Are you looking for recent cryptocurrency scandals involving Malaysian governments?	What are some high-profile scandals involving cryptocurrencies in Malaysia? Are you looking for recent cryptocurrency scandals?		143_1-19
144	1-1	144_1-1	I wish I saw the launch of falcon heavy in person, those two booster engines landing were incredible. They mentioned reusability though, what does that mean here and why do they care?	I wish I saw the launch of falcon heavy in person, those two booster engines landing were incredible. They mentioned reusability though, what does that mean here and why do they care?		144_1-5
144	1-3	144_1-3	When did people first start caring about Falcon 9 boosters?	When did people first start caring about Falcon 9 boosters? Yes, tell me about it		144_1-5
144	1-5	144_1-5	What made reusable rockets so hard to reuse?	What made reusable rockets so hard to reuse? Yes, tell me about it		144_1-5
144	1-1	144_1-1	I wish I saw the launch of falcon heavy in person, those two booster engines landing were incredible. They mentioned reusability though, what does that mean here and why do they care? Yes, I am interested in learning more.	I wish I saw the launch of falcon heavy in person, those two booster engines landing were incredible. They mentioned reusability though, what does that mean here and why do they care? Yes, I am interested in learning more.		144_2-17
144	1-3	144_1-3	When did people first start caring about Falcon 9 boosters?	When did people first start caring about Falcon 9 boosters? Yes, and when it started to matter that they reused their engines.		144_2-17
144	2-1	144_2-1	What are SpaceX plans moving forward on reusable launch systems?	What are SpaceX's plans moving forward on reusable launch systems? No, I am asking about SpaceX.		144_2-17
144	2-3	144_2-3	Tell me more about the engines on the Falcon Heavy, Dragon, and Starship rockets work as well.	Tell me more about the engines on the Falcon 9 boosters. Yes, but I'd also like to know how the Falcon Heavy, Dragon, and Starship rockets work as well.		144_2-17
144	2-5	144_2-5	How come methane rocket fuel works in SpaceX rocket engines?	How come methane is used in SpaceX rocket engines? Yes,I want to know how methane rocket fuel works.		144_2-17
144	2-7	144_2-7	Why is hydrogen so problematic for SpaceX engines? rocket engines build proess is more difficult.	Why is hydrogen so problematic for SpaceX engines? rocket engines build proess is more difficult.		144_2-17
144	2-9	144_2-9	Do you want to know more about why hydrogen is used in rocket engines?	Tell me specifically what makes hydrogen engines hard to build. Do you want to know more about why hydrogen is used in rocket engines?		144_2-17
144	2-11	144_2-11	Do you want to know the different types of rocket engines used by SpaceX?	Tell me about the different types of rocket engines used by SpaceX. Do you want to know the different types of rocket engines?		144_2-17
144	2-13	144_2-13	Yes, I want to learn about how a rocket powering cycle functions.	By cycles, what and which do you mean? Yes, I want to learn about how a rocket powering cycle functions.		144_2-17
144	2-15	144_2-15	What are the tradeoffs between an electric cycle engine and a conventional rocket engine?	What are the tradeoffs between an electric cycle engine and a conventional rocket engine? I want to compare several types of rocket engine, not just the electric pump-fed type.		144_2-17
144	2-17	144_2-17	Why did SpaceX exhaust the fuel in the Falcon 9 booster engines?	Why did SpaceX exhaust the fuel in the Falcon 9 booster engines?		144_2-17
144	1-1	144_1-1	I wish I saw the launch of falcon heavy in person, those two booster engines landing were incredible. They mentioned reusability though, what does that mean here and why do they care? Yes, I am interested in learning more.	I wish I saw the launch of falcon heavy in person, those two booster engines landing were incredible. They mentioned reusability though, what does that mean here and why do they care? Yes, I am interested in learning more.		144_3-1
144	1-3	144_1-3	When did people first start caring about Falcon 9 boosters?	When did people first start caring about Falcon 9 boosters? Yes, and when it started to matter that they reused their engines.		144_3-1
144	2-1	144_2-1	What are SpaceX plans moving forward on reusable launch systems?	What are SpaceX's plans moving forward on reusable launch systems? No, I am asking about SpaceX.		144_3-1
144	2-3	144_2-3	Tell me more about the engines on the Falcon Heavy, Dragon, and Starship rockets work as well.	Tell me more about the engines on the Falcon 9 boosters. Yes, but I'd also like to know how the Falcon Heavy, Dragon, and Starship rockets work as well.		144_3-1
144	2-5	144_2-5	How come methane rocket fuel works in SpaceX rocket engines?	How come methane is used in SpaceX rocket engines? Yes,I want to know how methane rocket fuel works.		144_3-1
144	2-7	144_2-7	Why is hydrogen so problematic for SpaceX engines? rocket engines build proess is more difficult.	Why is hydrogen so problematic for SpaceX engines? rocket engines build proess is more difficult.		144_3-1
144	2-9	144_2-9	Do you want to know more about why hydrogen is used in rocket engines?	Tell me specifically what makes hydrogen engines hard to build. Do you want to know more about why hydrogen is used in rocket engines?		144_3-1
144	2-11	144_2-11	Do you want to know the different types of rocket engines used by SpaceX?	Tell me about the different types of rocket engines used by SpaceX. Do you want to know the different types of rocket engines?		144_3-1
144	2-13	144_2-13	By cycles, what and which do you mean?	By cycles, what and which do you mean?		144_3-1
144	2-15	144_2-15	What are the tradeoffs between an electric cycle engine and a conventional rocket engine?	What are the tradeoffs between an electric cycle engine and a conventional rocket engine? Yes, but I want to compare all the types of rocket engines, not just electric-pump fed.		144_3-1
144	3-1	144_3-1	Are the last two engines the same? how do they compare roughly?	Are the last two engines the same? how do they compare roughly?		144_3-1
145	1-1	145_1-1	What is happening to the corals? Do you want to know what is causing coral reefs to be endangered?	What is happening to the corals? Do you want to know what is causing coral reefs to be endangered?		145_1-7
145	1-3	145_1-3	Are you interested in learning what happens to the ocean if coral reefs die?	What happens if the corals all die? Are you interested in finding out what happens to the ocean if coral reefs die?		145_1-7
145	1-5	145_1-5	What is the impact of an abrupt heatwave on the corals?	What is the impact of an abrupt heatwave on the corals?		145_1-7
145	1-7	145_1-7	Does coral also not do things to capture carbon?	Does coral also not do things to capture carbon?		145_1-7
145	1-1	145_1-1	What is happening to the corals? Yes, and I'm also interested in what might happen if they die.	What is happening to the corals? Yes, and I'm also interested in what might happen if they die.		145_2-5
145	1-3	145_1-3	Are you interested in finding out what happens to the ocean if coral reefs die?	What happens if the corals all die? Are you interested in finding out what happens to the ocean if coral reefs die?		145_2-5
145	1-5	145_1-5	What is the impact of an abrupt heatwave on the corals or the effect on the environment?	What is the impact of an abrupt heatwave on the corals? Are you asking about the coral or the effect on the environment?		145_2-5
145	2-1	145_2-1	Do you want to know if corals release carbon after dying?	What happens when corals die and the carbon falls into the ocean? Do you want to know if corals release carbon?		145_2-5
145	2-3	145_2-3	How can we stop the bleaching of corals?	How can we stop the bleaching of corals? Yes, and I want to know how much has been bleached.		145_2-5
145	2-5	145_2-5	How much has been bleached in the ocean since the start of the century?	How much has been bleached in the ocean since the start of the century? Yes, I am interested in learning more.		145_2-5
146	1-1	146_1-1	What's the difference between bike packing and bike touring? Are you looking for articles about the differences between bikepacking and bike touring?	What's the difference between bike packing and bike touring? Are you looking for articles about the differences between bikepacking and bike touring?		146_1-11
146	1-3	146_1-3	Do you want to know what bikepacking bags are used?	What are rack and pannier bags? Do you want to know what bikepacking bags are used?		146_1-11
146	1-5	146_1-5	Can any bike be used for a rack and pannier setup?	Can any bike be used for a rack and pannier setup? Yes, please show me a list of recommended bikes that I can use.		146_1-11
146	1-7	146_1-7	OK, and what can I do to make my bike more comfortable?	OK, and what can I do to make my bike more comfortable?		146_1-11
146	1-9	146_1-9	What’s the best seat for a bike?	What’s the best seat for a bike?		146_1-11
146	1-11	146_1-11	No, the best seat is for me on a bike.	No, the best seat is for me.		146_1-11
147	1-1	147_1-1	Marvel movies are all the rage now. What do you think is the best one? Would you like to know what is the best Marvel movie of all times?	Marvel movies are all the rage now. What do you think is the best one? Would you like to know what is the best Marvel movie of all times?		147_2-5
147	1-3	147_1-3	What is the best Marvel movie of all time?	Remind me of the iconic scene in Infinity War. No, i want to know how yhe elevator scene in Capt. America went.		147_2-5
147	1-5	147_1-5	Besides the “Avengers Assemble” scene in Endgame, I found other fight scenes more powerful. The information about the marvel movies.	Besides the “Avengers Assemble” scene in Endgame, I found other fight scenes more powerful. The information about the marvel movies.		147_2-5
147	1-7	147_1-7	What impact did the movie Avengers: Endgame have on the Marvel Cinematic Universe?	Let’s talk about some of the movie’s implications for the MCU. Do you want to know how that Movie impacted the Marvel Cinematic Universe?		147_2-5
147	1-9	147_1-9	Are you interested to know if the best Marvel movie also has the best Marvel superhero?	Iron man and Thor had great arcs in their movies as well. Are you interested to know if the best Marvel movie has also the best Marvel superhero?		147_2-5
147	1-11	147_1-11	I would like to know more about the Marvel franchise view on diversity and people of color.	OK, what is the future for the Marvel franchise? Yes. I would like to know more about their view on diversity and people of color.		147_2-5
147	1-13	147_1-13	What is Marvel Studios policy on inclusion and diversity?	What is Marvel’s approach to diversity? Would you like to know more about Marvel Studios policy on inclusion and diversity?		147_2-5
147	2-1	147_2-1	Are you asking about racial diversity at Marvel studios?	What about people of color in Marvel movies? Are you asking about racial diversity at Marvel studios?		147_2-5
147	2-3	147_2-3	What was Charles Soule’s She-Hulk about? Do you want to know how that Movie impacted the Marvel Cinematic Universe?	What was Charles Soule’s She-Hulk about? Do you want to know how that Movie impacted the Marvel Cinematic Universe?		147_2-5
147	2-5	147_2-5	Is it really the case that more often, Marvel heroes are played by white dudes named Chris than all women put together?	Is it really the case that more often, Marvel heroes are played by white dudes named Chris than all women put together?		147_2-5
147	1-1	147_1-1	Marvel movies are all the rage now. What do you think is the best one? Would you like to know what is the best Marvel movie of all times?	Marvel movies are all the rage now. What do you think is the best one? Would you like to know what is the best Marvel movie of all times?		147_1-15
147	1-3	147_1-3	What is the best Marvel movie of all time?	Remind me of the iconic scene in Infinity War. No, i want to know how yhe elevator scene in Capt. America went.		147_1-15
147	1-5	147_1-5	Besides the “Avengers Assemble” scene in Endgame, I found other fight scenes more powerful. The information about the marvel movies.	Besides the “Avengers Assemble” scene in Endgame, I found other fight scenes more powerful. The information about the marvel movies.		147_1-15
147	1-7	147_1-7	What impact did the movie Avengers: Endgame have on the Marvel Cinematic Universe?	Let’s talk about some of the movie’s implications for the MCU. Do you want to know how that Movie impacted the Marvel Cinematic Universe?		147_1-15
147	1-9	147_1-9	Iron man and Thor had great arcs in their movies as well.	Iron man and Thor had great arcs in their movies as well.		147_1-15
147	1-11	147_1-11	What is the future for the Marvel Cinematic Universe franchise movies?	OK, what is the future for the Marvel franchise? Would you like to know about future Marvel Cinematic Universe franchise movies?		147_1-15
147	1-13	147_1-13	What is Marvel’s approach to diversity in their films?	What is Marvel’s approach to diversity? Yes, I am curious about how exactly they use this diversity in their films.		147_1-15
147	1-15	147_1-15	Can you expand on Zoe Saldana and Tessa Thompson's roles in Marvel's films?	Can you expand on Zoe Saldana and Tessa Thompson's roles in Marvel's films?		147_1-15
148	1-1	148_1-1	Tech salaries are all the rave now. How do I break in? Would you like tips for breaking into the tech sector?	Tech salaries are all the rave now. How do I break in? Would you like tips for breaking into the tech sector?		148_1-9
148	1-3	148_1-3	How will education support you in advancing your own skills and knowledge? Yes, I want to know if it helps.	How will education support you in advancing your own skills and knowledge? Yes, I want to know if it helps.		148_1-9
148	1-5	148_1-5	What’s another tip to break into the tech sector besides salary?	What’s another tip to break into the tech and engineering industries besides salary? Would you like tips for breaking into the tech sector?		148_1-9
148	1-7	148_1-7	Yes, give me tips about networking and qualifications for tech.	What’s a lot like the first tip to break into the tech and engineering industries? Yes, give me tips about networking and qualifications for tech.		148_1-9
148	1-9	148_1-9	How important is networking to break into the tech industry?	How important is networking to break into the tech industry?		148_1-9
148	1-1	148_1-1	Tech salaries are all the rave now. How do I break in? Would you like tips for breaking into the tech sector?	Tech salaries are all the rave now. How do I break in? Would you like tips for breaking into the tech sector?		148_2-5
148	1-3	148_1-3	How will education support you in advancing your own skills and knowledge?	How will education support you in advancing your own skills and knowledge?		148_2-5
148	2-1	148_2-1	I want to know about how to get started in an entry-level position in the tech and engineering industries.	I’ve heard that salary is not as important as it used to be for many people wanting to break into the tech and engineering industries. I'm not sure about promotions just yet, for now, I want to know about how to get started in an entry-level position.		148_2-5
148	2-3	148_2-3	How can I demonstrate learning web programming and machine learning algorithms? Any skills, I suppose, I just want tips on how I can show my talents.	How can I demonstrate learning web programming and machine learning algorithms? Any skills, I suppose, I just want tips on how I can show my talents.		148_2-5
148	2-5	148_2-5	What next step is to create a resume?	What next step is to create a resume?		148_2-5
149	1-1	149_1-1	Are search engines biased?	Are search engines biased?		149_1-5
149	1-3	149_1-3	In what ways can search engines be biased?	In what ways can search engines be biased?		149_1-5
149	1-5	149_1-5	Yes, ideologically.	Yes, ideologically.		149_1-5
149	1-1	149_1-1	Are search engines biased? No, I'm asking about the results from the search engine, and whether they might be biased.	Are search engines biased? No, I'm asking about the results from the search engine, and whether they might be biased.		149_4-1
149	3-1	149_3-1	How do you get impartial results from the search engine?	How do you get impartial results from search engines? No, I can understand my own search terms.  What I want to know about is how to get impartial results from the search engine.		149_4-1
149	3-3	149_3-3	What is Search Neutrality? Is Your Search Engine Biased?	What is search neutrality? No, I want to know how to get unbiased search results.		149_4-1
149	3-5	149_3-5	No, i want to know how to get information that is true and unbiased from search engines.	No, I want to know how to get unbiased results from search engines. No, i want to know how to get informaion that is true and unbiased.		149_4-1
149	4-1	149_4-1	No, how can i get less biased search results?	No, how can i get less biased search results? No, I want to ensure my searching isn't biased.		149_4-1
149	1-1	149_1-1	Are search engines biased?	Are search engines biased?		149_2-7
149	1-3	149_1-3	In what ways can search engines be biased?	In what ways can search engines be biased?		149_2-7
149	2-1	149_2-1	Are search engine biases unconcsious and not intended?	Yes, racially. I have no particular race in mind, I just want to know about potential bias against any persons of color.		149_2-7
149	2-3	149_2-3	Why is Google search’s auto suggestion feature demoralizing?	How does Google search’s auto suggestion feature happen? No, I want to know if search engines are biased when it comes to race.		149_2-7
149	2-5	149_2-5	Are algorithms really biased against people of colour?	Are algorithms really biased against people of colour?		149_2-7
149	2-7	149_2-7	In terms of resume-scanning algorithms ranking though, how does it work?	In terms of resume-scanning algorithms ranking though, how does it work?		149_2-7
149	1-1	149_1-1	Are search engines biased?	Are search engines biased?		149_3-9
149	3-1	149_3-1	How do you get impartial results from search engines?	How do you get impartial results from search engines?		149_3-9
149	3-3	149_3-3	What are search neutral results?	What is search neutrality? No, i want to know what search neutral results are.		149_3-9
149	3-5	149_3-5	No, I want to know how to get unbiased results from search engines.	No, I want to know how to get unbiased results from search engines.		149_3-9
149	3-7	149_3-7	What alternatives are there to get unbiased results from search engines?	What alternatives are there to get unbiased results from search engines?		149_3-9
149	3-9	149_3-9	What does ecosia do?	What does ecosia do?		149_3-9
